wl,Goodenia_heterophylla,Goodenia_geniculata
523,22.69578265,68.00423033
524,22.53405597,68.08772828
525,22.37676967,68.16945081
526,22.22153816,68.24611249
527,22.06556088,68.31497909
528,21.90909876,68.37701819
529,21.75241272,68.43319739
530,21.59576371,68.48448425
531,21.43941264,68.53184637
532,21.28362044,68.57625133
533,21.12864805,68.6186667
534,20.97475638,68.66006008
535,20.82220638,68.70139904
536,20.67125896,68.74365117
537,20.52217505,68.78778404
538,20.37521559,68.83476525
539,20.22575861,68.88259677
540,20.07018187,68.92867527
541,19.91024591,68.9730604
542,19.74771125,69.01581182
543,19.58433841,69.05698917
544,19.42188793,69.0966521
545,19.26212033,69.13486027
546,19.10679614,69.17167331
547,18.95767589,69.20715089
548,18.81652009,69.24135265
549,18.68508929,69.27433824
550,18.565144,69.3061673
551,18.44865039,69.33783822
552,18.32744235,69.37006299
553,18.20308193,69.40247173
554,18.07713121,69.43469455
555,17.95115228,69.46636156
556,17.82670721,69.49710288
557,17.70535807,69.5265486
558,17.58866694,69.55432886
559,17.4781959,69.58007375
560,17.37550702,69.60341339
561,17.28216238,69.62397789
562,17.19972405,69.64139736
563,17.12975411,69.65530192
564,17.07236841,69.66498292
565,17.02564665,69.670325
566,16.98809669,69.67184821
567,16.95822636,69.67007256
568,16.93454353,69.66551808
569,16.91555603,69.6587048
570,16.89977173,69.65015275
571,16.88569847,69.64038196
572,16.8718441,69.62991246
573,16.85671646,69.61926427
574,16.83882342,69.60895743
575,16.81667281,69.59951196
576,16.7987165,69.587942
577,16.79319783,69.57140702
578,16.79831192,69.55064504
579,16.81225386,69.52639409
580,16.83321876,69.4993922
581,16.85940174,69.47037739
582,16.88899788,69.44008769
583,16.92020231,69.40926111
584,16.95121013,69.37863569
585,16.98021643,69.34894945
586,17.00541633,69.32094041
587,17.02500494,69.2953466
588,17.03717735,69.27290605
589,17.03599737,69.2519448
590,17.01935885,69.23033266
591,16.99120203,69.20812328
592,16.95546713,69.1853703
593,16.91609435,69.16212739
594,16.87702393,69.13844819
595,16.84219607,69.11438635
596,16.81555101,69.08999553
597,16.80102895,69.06532938
598,16.80257012,69.04044154
599,16.82411475,69.01538567
600,16.86960303,68.99021543
601,16.9146752,68.96404555
602,16.93621394,68.93613387
603,16.94002326,68.90674866
604,16.93190714,68.87615819
605,16.91766957,68.84463075
606,16.90311453,68.81243459
607,16.89404602,68.77983799
608,16.89626801,68.74710923
609,16.91558449,68.71451657
610,16.95779946,68.68232829
611,17.0287169,68.65081267
612,17.13414079,68.62023797
613,17.27987512,68.59087247
614,17.45716574,68.56683585
615,17.65237128,68.55084608
616,17.86396492,68.54106888
617,18.09041985,68.53566996
618,18.33020923,68.53281503
619,18.58180626,68.53066979
620,18.8436841,68.52739995
621,19.11431594,68.52117124
622,19.39217496,68.51014934
623,19.67573434,68.49249999
624,19.96346725,68.46638888
625,20.25384687,68.42998172
626,20.57627091,68.39369912
627,20.95491285,68.36751677
628,21.38040957,68.34893305
629,21.84339795,68.33544633
630,22.33451486,68.32455497
631,22.84439719,68.31375736
632,23.36368181,68.30055186
633,23.8830056,68.28243684
634,24.39300543,68.25691067
635,24.88431818,68.22147173
636,25.34758073,68.17361838
637,25.77342995,68.11084901
638,26.15250272,68.03066197
639,26.52794822,67.93244712
640,26.94324196,67.81887242
641,27.38951034,67.69235333
642,27.85787977,67.55530536
643,28.33947666,67.41014398
644,28.82542741,67.2592847
645,29.30685843,67.105143
646,29.77489613,66.95013437
647,30.2206669,66.79667429
648,30.63529716,66.64717826
649,31.0099133,66.50406177
650,31.33564175,66.36974031
651,31.62930888,66.22464125
652,31.9135947,66.05154986
653,32.18840603,65.85641842
654,32.45364966,65.64519922
655,32.70923241,65.42384455
656,32.95506109,65.19830671
657,33.19104252,64.97453799
658,33.41708349,64.75849067
659,33.63309084,64.55611704
660,33.83897135,64.37336941
661,34.03463185,64.21620005
662,34.21997914,64.09056125
663,34.39492004,64.00240532
664,34.55967013,63.93372785
665,34.71448664,63.86360488
666,34.8593388,63.79360933
667,34.99419588,63.72531412
668,35.11902712,63.66029217
669,35.23380176,63.60011642
670,35.33848907,63.54635979
671,35.43305829,63.5005952
672,35.51747866,63.46439557
673,35.59171944,63.43933383
674,35.65574989,63.42698291
675,35.70953923,63.42891573
676,35.75304873,63.44077188
677,35.78628902,63.45746816
678,35.80930346,63.47949333
679,35.82213537,63.50733613
680,35.82482812,63.54148532
681,35.81742505,63.58242963
682,35.7999695,63.63065782
683,35.77250481,63.68665864
684,35.73507435,63.75092083
685,35.68772144,63.82393314
686,35.63048944,63.90618432
687,35.5634217,63.99816313
688,35.48656155,64.1003583
689,35.40013097,64.21446119
690,35.30427848,64.34140085
691,35.19893726,64.48052261
692,35.0840405,64.63117176
693,34.95952137,64.79269362
694,34.82531308,64.9644335
695,34.6813488,65.14573671
696,34.52756172,65.33594855
697,34.36388501,65.53441435
698,34.19025188,65.74047941
699,34.0065955,65.95348903
700,33.81284905,66.17278854
