wl,limlow,limhigh
300,25.155700588990715,24.510072128817633
301,25.262281494374445,26.363416060453186
302,25.35690492126161,28.39051712651702
303,25.438023823488948,30.592870510110377
304,25.504203723746325,32.94940167000057
305,25.554124826356496,35.43433312844865
306,25.586586448710634,38.02907310266884
307,25.600514018542036,40.71224787285063
308,25.59496880328792,43.43704560445414
309,25.569160411823916,46.12299865701724
310,25.522461922592367,48.674661519031325
311,25.454427230459586,51.010843114359375
312,25.364809855792597,53.08232861677325
313,25.253582020171216,54.872457984374556
314,25.120952277113318,56.38803643982203
315,24.967379432517898,57.64889888999497
316,24.793579974046875,58.68007575967729
317,24.60052587164891,59.50709492154076
318,24.38942957753923,60.15363122523182
319,24.16171353697621,60.640585423430295
320,23.918962706004994,60.98592297593014
321,23.662860570967723,61.20486742979262
322,23.395111932640017,61.310228618224585
323,23.117358973678957,61.31275668886449
324,22.831100312198004,61.22147333749197
325,22.53762506350715,61.04396240164319
326,22.237974516359863,60.78661664596224
327,21.93294218816051,60.45484392881158
328,21.623118524738103,60.05323819427007
329,21.308979777443515,59.585721077758805
330,20.99101269861088,59.055659449031026
331,20.669859142968,58.46596347616257
332,20.346458980595372,57.81916902247202
333,20.022167096044434,57.11750748581969
334,19.69882125148437,56.362965588927224
335,19.378742186236604,55.55733713170251
336,19.06465497576097,54.70226831110978
337,18.759530529444806,53.79929788610308
338,18.466357110836707,52.84989319996759
339,18.187862663519553,51.855482857113614
340,17.92621805613098,50.81748667512744
341,17.682757519859926,49.737343386865454
342,17.45775405922087,48.61653644462398
343,17.25028353189617,47.45661817340467
344,17.058201461537948,46.25923242882891
345,16.87824274443133,45.02613583411764
346,16.70623860338282,43.75921759739837
347,16.537430334794585,42.46051784377356
348,16.36684823611293,41.13224433503773
349,16.18971825085056,39.776787393091844
350,16.001858615559637,38.39673279086442
351,15.800033145870676,36.99487232716259
352,15.582234970430026,35.57421175989946
353,15.347882581831806,34.137975736442414
354,15.097917517116038,32.689609331432514
355,14.83479904954832,31.232775782609462
356,14.562395992767504,29.771350005296355
357,14.285779695257258,28.309407467801222
358,14.010926392478037,26.851208024753625
359,13.744342017201891,25.40117433524865
360,13.49262862833475,23.96386453997222
361,13.262018430099534,22.543938939195048
362,13.057907852185712,21.1461205056654
363,12.884428776487228,19.77514918833168
364,12.744095045250303,18.435730121614633
365,12.637558602774963,17.132476059629663
366,12.56350066294437,15.869844615851502
367,12.5186700243745,14.652071217028857
368,12.498065081921338,13.483099083903236
369,12.49524090142384,12.366508031395526
370,12.50271060618537,11.305444423963577
371,12.512403207209596,10.302555191251203
372,12.516138632683615,9.359929336690637
373,12.506084537002721,8.479050752517011
374,12.475166976624218,7.660766251810836
375,12.417416246956744,6.905272392641093
376,12.328238173913741,6.212123778811786
377,12.204608510619867,5.580264035051092
378,12.045193027004757,5.008078667398116
379,11.850398268810707,4.49346679541692
380,11.622358185802554,4.033926690211007
381,11.364860596220227,3.626648632790925
382,11.083215624942557,3.268608189612622
383,10.784066691842753,2.9566537114195377
384,10.475144095060122,2.6875834986610583
385,10.164962294484301,2.4582101594895804
386,9.862464932298971,2.2654116151731594
387,9.57662634365419,2.106169492597247
388,9.31602430498641,1.9775960915672772
389,9.08840511711974,1.876950894469503
390,8.9002675832356,1.801647140282823
391,8.756495667309974,1.7492488323894737
392,8.660069448783942,1.7174590585950167
393,8.611879786446762,1.7041017276854045
394,8.610664003310736,1.707100471700542
395,8.653068886544633,1.7244599696391625
