wl,lomandra1
255.67,2.063
255.88,1.886
256.09,2.7565
256.3,2.947
256.5,2.643
256.71,2.5085
256.92,2.8485
257.13,3.001
257.34,3.2785
257.55,3.0115
257.76,3.2575
257.97,3.302
258.17,3.3955
258.38,3.4275
258.59,3.225
258.8,3.3115
259.01,3.466
259.22,3.674
259.43,3.6285
259.64,3.6735
259.84,3.6165
260.05,3.742
260.26,3.7515
260.47,3.7165
260.68,3.6865
260.89,3.721
261.1,3.8215
261.31,3.8685
261.51,3.7755
261.72,3.8455
261.93,3.867
262.14,3.898
262.35,3.8185
262.56,3.8415
262.77,3.7985
262.98,3.7285
263.18,3.7115
263.39,3.755
263.6,3.775
263.81,3.7995
264.02,3.8205
264.23,3.794
264.44,3.7395
264.64,3.7025
264.85,3.7145
265.06,3.775
265.27,3.8325
265.48,3.8025
265.69,3.8295
265.9,3.8805
266.1,4.0345
266.31,4.0195
266.52,4.043
266.73,4.034
266.94,4.013
267.15,4.0925
267.35,4.056
267.56,4.0155
267.77,4.0145
267.98,4.0705
268.19,4.0155
268.4,3.9885
268.61,3.9835
268.81,3.9875
269.02,3.9745
269.23,3.959
269.44,3.97
269.65,3.946
269.86,3.9695
270.06,3.9735
270.27,3.951
270.48,3.9255
270.69,3.9075
270.9,3.936
271.11,3.9375
271.31,3.948
271.52,3.968
271.73,3.9745
271.94,3.973
272.15,3.9735
272.36,3.9545
272.56,3.9695
272.77,3.98
272.98,4.008
273.19,4.0075
273.4,3.9855
273.6,3.9825
273.81,3.9565
274.02,3.958
274.23,3.994
274.44,3.9635
274.65,3.903
274.85,3.9305
275.06,3.942
275.27,3.9645
275.48,3.976
275.69,3.942
275.89,3.955
276.1,3.979
276.31,3.988
276.52,3.948
276.73,3.96
276.93,4.01
277.14,3.977
277.35,3.976
277.56,3.996
277.77,3.9935
277.97,3.986
278.18,4.0045
278.39,3.982
278.6,3.977
278.81,3.996
279.01,4.0215
279.22,4.0395
279.43,4.082
279.64,4.087
279.85,4.093
280.05,4.0925
280.26,4.056
280.47,4.072
280.68,4.059
280.89,4.0595
281.09,4.043
281.3,3.997
281.51,3.987
281.72,3.996
281.93,4.0305
282.13,4.029
282.34,4.024
282.55,4.015
282.76,3.999
282.96,4.0005
283.17,3.9985
283.38,4.006
283.59,3.9775
283.8,3.9695
284,3.9455
284.21,3.9385
284.42,3.9525
284.63,3.9215
284.83,3.8825
285.04,3.8975
285.25,3.899
285.46,3.863
285.67,3.8805
285.87,3.889
286.08,3.8845
286.29,3.876
286.5,3.8785
286.7,3.889
286.91,3.8965
287.12,3.923
287.33,3.9025
287.53,3.8905
287.74,3.9015
287.95,3.847
288.16,3.864
288.37,3.861
288.57,3.859
288.78,3.8625
288.99,3.833
289.2,3.807
289.4,3.825
289.61,3.802
289.82,3.8045
290.03,3.7865
290.23,3.7725
290.44,3.7515
290.65,3.7645
290.86,3.785
291.06,3.7775
291.27,3.7865
291.48,3.801
291.69,3.813
291.89,3.7845
292.1,3.785
292.31,3.779
292.52,3.781
292.72,3.7905
292.93,3.802
293.14,3.8235
293.35,3.8475
293.55,3.84
293.76,3.8485
293.97,3.8865
294.17,3.877
294.38,3.8695
294.59,3.8485
294.8,3.8495
295,3.826
295.21,3.8235
295.42,3.822
295.63,3.799
295.83,3.7915
296.04,3.7905
296.25,3.7655
296.46,3.7935
296.66,3.759
296.87,3.7525
297.08,3.764
297.28,3.7885
297.49,3.788
297.7,3.81
297.91,3.8185
298.11,3.8
