Online Appendix to Endler & Mielke 2005
Values *  100         UV - type eye                               V - type eye
WAVELN     UVS+T     SWS+C     MWS+Y     LWS+R         UVS+T     SWS+C     MWS+Y     LWS+R
 369.0  1.397533  0.000000  0.000000  0.000000      0.580454  0.000000  0.000000  0.000000
 370.0  1.400727  0.000000  0.000000  0.000000      0.595735  0.000000  0.000000  0.000000
 371.0  1.402531  0.000000  0.000000  0.000000      0.611198  0.000000  0.000000  0.000000
 372.0  1.402892  0.000000  0.000000  0.000000      0.626826  0.000000  0.000000  0.000000
 373.0  1.401758  0.000000  0.000000  0.000000      0.642596  0.000000  0.000000  0.000000
 374.0  1.399077  0.000000  0.000000  0.000000      0.658488  0.000000  0.000000  0.000000
 375.0  1.394800  0.000000  0.000000  0.000000      0.674480  0.000000  0.000000  0.000000
 376.0  1.388878  0.000000  0.000000  0.000000      0.690548  0.000000  0.000000  0.000000
 377.0  1.381263  0.000000  0.000000  0.000000      0.706670  0.000000  0.000000  0.000000
 378.0  1.371910  0.000000  0.000000  0.000000      0.722822  0.000000  0.000000  0.000000
 379.0  1.360776  0.000000  0.000000  0.000000      0.738980  0.000000  0.000000  0.000000
 380.0  1.347822  0.000000  0.000000  0.000000      0.755118  0.000000  0.000000  0.000000
 381.0  1.333013  0.000000  0.000000  0.000000      0.771214  0.000000  0.000000  0.000000
 382.0  1.316317  0.000000  0.000000  0.000000      0.787242  0.000000  0.000000  0.000000
 383.0  1.297710  0.000000  0.000000  0.000000      0.803177  0.000000  0.000000  0.000000
 384.0  1.277174  0.000000  0.000000  0.000000      0.818996  0.000000  0.000000  0.000000
 385.0  1.254698  0.000000  0.000000  0.000000      0.834673  0.000000  0.000000  0.000000
 386.0  1.230282  0.000000  0.000000  0.000000      0.850185  0.000000  0.000000  0.000000
 387.0  1.203937  0.000000  0.000000  0.000000      0.865507  0.000000  0.000000  0.000000
 388.0  1.175685  0.000000  0.000000  0.000000      0.880616  0.000000  0.000000  0.000000
 389.0  1.145563  0.000000  0.000000  0.000000      0.895487  0.000000  0.000000  0.000000
 390.0  1.113625  0.000000  0.000000  0.000000      0.910099  0.000000  0.000000  0.000000
 391.0  1.079941  0.000000  0.000000  0.000000      0.924426  0.000000  0.000000  0.000000
 392.0  1.044600  0.000000  0.000000  0.000000      0.938447  0.000000  0.000000  0.000000
 393.0  1.007714  0.000000  0.000000  0.000000      0.952139  0.000000  0.000000  0.000000
 394.0  0.969412  0.000000  0.000000  0.000000      0.965479  0.000000  0.000000  0.000000
 395.0  0.929849  0.000001  0.000000  0.000000      0.978445  0.000000  0.000000  0.000000
 396.0  0.889198  0.000003  0.000000  0.000000      0.991016  0.000000  0.000000  0.000000
 397.0  0.847655  0.000008  0.000000  0.000000      1.003168  0.000000  0.000000  0.000000
 398.0  0.805434  0.000021  0.000000  0.000000      1.014881  0.000000  0.000000  0.000000
 399.0  0.762765  0.000052  0.000000  0.000000      1.026133  0.000000  0.000000  0.000000
 400.0  0.719891  0.000119  0.000000  0.000000      1.036903  0.000000  0.000000  0.000000
 401.0  0.677065  0.000254  0.000000  0.000000      1.047168  0.000000  0.000000  0.000000
 402.0  0.634540  0.000514  0.000000  0.000000      1.056909  0.000000  0.000000  0.000000
 403.0  0.592571  0.000980  0.000000  0.000000      1.066103  0.000000  0.000000  0.000000
 404.0  0.551403  0.001778  0.000000  0.000000      1.074730  0.000000  0.000000  0.000000
 405.0  0.511269  0.003075  0.000000  0.000000      1.082768  0.000000  0.000000  0.000000
 406.0  0.472383  0.005092  0.000000  0.000000      1.090196  0.000000  0.000000  0.000000
 407.0  0.434937  0.008102  0.000000  0.000000      1.096993  0.000000  0.000000  0.000000
 408.0  0.399095  0.012427  0.000000  0.000000      1.103140  0.000000  0.000000  0.000000
 409.0  0.364991  0.018426  0.000000  0.000000      1.108614  0.000000  0.000000  0.000000
 410.0  0.332729  0.026484  0.000000  0.000000      1.113395  0.000000  0.000000  0.000000
 411.0  0.302382  0.036993  0.000000  0.000000      1.117462  0.000000  0.000000  0.000000
 412.0  0.273991  0.050331  0.000000  0.000000      1.120797  0.000000  0.000000  0.000000
 413.0  0.247569  0.066841  0.000000  0.000000      1.123378  0.000000  0.000000  0.000000
 414.0  0.223102  0.086810  0.000000  0.000000      1.125187  0.000000  0.000000  0.000000
 415.0  0.200552  0.110459  0.000000  0.000000      1.126205  0.000000  0.000000  0.000000
 416.0  0.179862  0.137924  0.000000  0.000000      1.126413  0.000000  0.000000  0.000000
 417.0  0.160958  0.169253  0.000000  0.000000      1.125794  0.000000  0.000000  0.000000
 418.0  0.143754  0.204404  0.000000  0.000000      1.124331  0.000000  0.000000  0.000000
 419.0  0.128154  0.243248  0.000000  0.000000      1.122009  0.000000  0.000000  0.000000
 420.0  0.114056  0.285574  0.000000  0.000000      1.118812  0.000000  0.000000  0.000000
 421.0  0.101355  0.331103  0.000000  0.000000      1.114728  0.000000  0.000000  0.000000
 422.0  0.089946  0.379495  0.000000  0.000000      1.109745  0.000000  0.000000  0.000000
